Perimetre,Date,Heures,Consommation
France,1/1/2016,0:00,60165
France,1/1/2016,0:30,58887
France,1/1/2016,1:00,56678
France,1/1/2016,1:30,56460
France,1/1/2016,2:00,55780
France,1/1/2016,2:30,55233
France,1/1/2016,3:00,53160
France,1/1/2016,3:30,51648
France,1/1/2016,4:00,50207
France,1/1/2016,4:30,49345
France,1/1/2016,5:00,48657
France,1/1/2016,5:30,48865
France,1/1/2016,6:00,48743
France,1/1/2016,6:30,49216
France,1/1/2016,7:00,49108
France,1/1/2016,7:30,49339
France,1/1/2016,8:00,49548
France,1/1/2016,8:30,49061
France,1/1/2016,9:00,48939
France,1/1/2016,9:30,49651
France,1/1/2016,10:00,50517
France, 2/1/2016, 10:00,50000
France,5/1/2016,10:00,52000
France,8/1/2016,10:00,53000
France,15/1/2016,12:00,56000
